shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
128,59.40561881342,17.95391933627,1,
128,59.40568615241,17.9541144715,2,
128,59.40583936158,17.95457882558,3,
128,59.40598431395,17.95501923175,4,
128,59.40605572929,17.95524568665,5,
128,59.40611583118,17.95544435568,6,
128,59.40614552855,17.95550409532,7,
128,59.40631946975,17.95597367666,8,
128,59.40638522777,17.95609593452,9,
128,59.40654573339,17.95633906095,10,
128,59.40679532871,17.95672945254,11,
128,59.40712057765,17.9572393234,12,
128,59.40734330067,17.95759081476,13,
128,59.40738501688,17.95765750086,14,
128,59.40740552144,17.95774641567,15,
128,59.40745855041,17.95783671978,16,
128,59.40748471134,17.9578770093,17,
128,59.40752854853,17.95788812365,18,
128,59.40765086814,17.95808957127,19,
128,59.40782550865,17.95845912344,20,
128,59.40797893703,17.95871058564,21,
128,59.40808216494,17.9588786902,22,
128,59.40815852512,17.95900789453,23,
128,59.40822357254,17.95910931299,24,
128,59.40832821377,17.95933715719,25,
128,59.40833174895,17.95953304763,26,
128,59.4082560962,17.95971782372,27,
128,59.40819104884,17.95987342463,28,
128,59.40815993919,17.96003736131,29,
128,59.40815923215,17.96008737589,30,
128,59.4081620603,17.9602235267,31,
128,59.40820801773,17.96036801326,32,
128,59.40828649872,17.96052917135,33,
128,59.40837699911,17.96071394744,34,
128,59.40844063204,17.96084176248,35,
128,59.40854173746,17.96104876727,36,
128,59.40864779177,17.96126410783,37,
128,59.40869445557,17.96136413699,38,
128,59.40881111476,17.96153502014,39,
128,59.4089192893,17.96156836319,40,
128,59.40895130158,17.96160849842,41,
128,59.40897372995,17.96162810283,42,
130,59.40897372995,17.96162810283,1,
130,59.40900766242,17.96179376464,2,
130,59.4090075783,17.96194649526,3,
130,59.40896751959,17.96212337277,4,
130,59.40891839263,17.96226031907,5,
130,59.40877540681,17.96234874585,6,
130,59.40861761737,17.96238597276,7,
130,59.40825623513,17.96228524785,8,
130,59.40746491247,17.961287279,9,
130,59.40676747132,17.95985553611,10,
130,59.40618312739,17.95865041399,11,
130,59.40562195439,17.95728128061,12,
130,59.40512064093,17.95591505012,13,
130,59.40498643814,17.95528660082,14,
130,59.40496493997,17.95487353313,15,
130,59.40504552603,17.95450971678,16,
130,59.40512295327,17.95418292582,17,
130,59.40522559189,17.9539855054,18,
130,59.40546946543,17.95385467533,19,
130,59.40561881342,17.95391933627,20,
